iter	Logloss
0	0.6690263741
1	0.6451620957
2	0.6256899817
3	0.6067379855
4	0.5884361325
5	0.5731784916
6	0.5595221852
7	0.5472120058
8	0.5366098815
9	0.5253299585
10	0.5161167412
11	0.5066407862
12	0.499481996
13	0.4919204302
14	0.4862371029
15	0.4768278675
16	0.4668256675
17	0.4621936182
18	0.4579057456
19	0.4488909359
20	0.4440521091
21	0.4398946611
22	0.4359982458
23	0.4331436544
24	0.4302917048
25	0.4219281915
26	0.4190978562
27	0.413131647
28	0.4110793647
29	0.4060320233
30	0.3967903942
31	0.388765377
32	0.3807210049
33	0.3743013827
34	0.3725364893
35	0.3702214915
36	0.3688586558
37	0.3671325665
38	0.365089726
39	0.363834355
40	0.3616879193
41	0.3606910717
42	0.3594327093
43	0.3585676833
44	0.3554938695
45	0.3544828611
46	0.3525992536
47	0.35176505
48	0.3496703594
49	0.3447633776
50	0.3401662025
51	0.3376981887
52	0.3329233679
53	0.3323586366
54	0.3316780455
55	0.3295084332
56	0.3280119129
57	0.3261106051
58	0.3247619059
59	0.3239694149
60	0.322099437
61	0.320746345
62	0.3195058407
63	0.3180062837
64	0.3175208201
65	0.317066786
66	0.3154592326
67	0.314681315
68	0.3119287727
69	0.3109620878
70	0.3091324398
71	0.3077256803
72	0.3058356339
73	0.3049262621
74	0.3045864574
75	0.3042137552
76	0.3038694718
77	0.3032058029
78	0.3020563408
79	0.3013546005
80	0.3006303623
81	0.2998713001
82	0.2986682724
83	0.2974937748
84	0.2964164043
85	0.2948376117
86	0.294075141
87	0.2934418711
88	0.2927035355
89	0.2919664525
90	0.2916415534
91	0.2912580554
92	0.2909304387
93	0.2906793451
94	0.290372766
95	0.289683062
96	0.2892347756
97	0.2880945376
98	0.2872824295
99	0.2866953632
100	0.2864121181
101	0.2858866972
102	0.2856685751
103	0.285374549
104	0.285098066
105	0.2844902911
106	0.2842823844
107	0.2838752499
108	0.2837032683
109	0.2834756537
110	0.2817678293
111	0.2812299363
112	0.2810617106
113	0.2805722203
114	0.2803309488
115	0.2801632124
116	0.2797784886
117	0.278819654
118	0.2785247227
119	0.2780461374
120	0.2779190059
121	0.2777561508
